Category,Sound,URL
alarms,alarm clock,https://actions.google.com/sounds/v1/alarms/alarm_clock.ogg
alarms,assorted computer sounds,https://actions.google.com/sounds/v1/alarms/assorted_computer_sounds.ogg
alarms,beep short,https://actions.google.com/sounds/v1/alarms/beep_short.ogg
alarms,bugle tune,https://actions.google.com/sounds/v1/alarms/bugle_tune.ogg
alarms,digital watch alarm long,https://actions.google.com/sounds/v1/alarms/digital_watch_alarm_long.ogg
alarms,dinner bell triangle,https://actions.google.com/sounds/v1/alarms/dinner_bell_triangle.ogg
alarms,dosimeter alarm,https://actions.google.com/sounds/v1/alarms/dosimeter_alarm.ogg
alarms,mechanical clock ring,https://actions.google.com/sounds/v1/alarms/mechanical_clock_ring.ogg
alarms,medium bell ringing near,https://actions.google.com/sounds/v1/alarms/medium_bell_ringing_near.ogg
alarms,phone alerts and rings,https://actions.google.com/sounds/v1/alarms/phone_alerts_and_rings.ogg
alarms,radiation meter,https://actions.google.com/sounds/v1/alarms/radiation_meter.ogg
alarms,setting alarm clock,https://actions.google.com/sounds/v1/alarms/setting_alarm_clock.ogg
alarms,spaceship alarm,https://actions.google.com/sounds/v1/alarms/spaceship_alarm.ogg
alarms,winding alarm clock,https://actions.google.com/sounds/v1/alarms/winding_alarm_clock.ogg
ambiences,ambient hum air conditioner,https://actions.google.com/sounds/v1/ambiences/ambient_hum_air_conditioner.ogg
ambiences,arcade room,https://actions.google.com/sounds/v1/ambiences/arcade_room.ogg
ambiences,barnyard with animals,https://actions.google.com/sounds/v1/ambiences/barnyard_with_animals.ogg
ambiences,carnival atmosphere,https://actions.google.com/sounds/v1/ambiences/carnival_atmosphere.ogg
ambiences,children group ambience,https://actions.google.com/sounds/v1/ambiences/children_group_ambience.ogg
ambiences,coffee shop,https://actions.google.com/sounds/v1/ambiences/coffee_shop.ogg
ambiences,convention hall ambience noise,https://actions.google.com/sounds/v1/ambiences/convention_hall_ambience_noise.ogg
